"FECHA";"EST";"MUNICIPIO";"PARAJE";"TMED";"TMAX";"TMIN";"HRMED";"HRMAX";"HRMIN";"PREC";"RADMED";"VVMED";"VVMAX";"DVMED";"ETO"
01/01/20;"AL31";"Totana";"Lebor";7,47;15,04;2,53;87,65;96,3;65,21;0,2;119,57;1,21;3,14;253,38;0,91
01/01/20;"AL41";"Alhama";"La Calavera";6,04;15,29;-0,55;82,91;91,35;61,3;0;124,52;0,59;4,12;135,46;0,73
01/01/20;"AL52";"Librilla";"Los Palomos";6,33;14,75;0,36;87,59;97,5;64,25;0,2;114,82;0,61;2,29;271,46;0,7
01/01/20;"AL62";"Mazarrón";"Cañada Gallego";9,87;14,18;5,06;82,66;90,2;69,29;0;136,13;0,75;4,7;332,09;0,79
01/01/20;"AL91";"Mazarrón";"Leiva";8,64;14,88;2,42;95,7;99,9;77,81;0,2;122,24;0,84;4,49;250,66;0,72
01/01/20;"CA12";"Cartagena";"La Palma";9,02;15,97;3,86;83,61;92,8;59,9;0,2;120,55;0,05;3,72;184,2;0,53
01/01/20;"CA21";"Murcia";"Corvera";9,04;14,33;5,32;88,09;99,8;68,22;0,21;118,88;1,01;3,95;307,22;0,81
01/01/20;"CA42";"Fuente Alamo";"Balsapintada";8,14;15,82;3,37;94,43;99,9;75,1;0,2;122,55;0,79;2,77;235,15;0,74
01/01/20;"CA52";"Cartagena";"La Aljorra";9,56;16,09;5,73;86,28;98,3;66,56;0,1;118,19;1,38;4,16;253,51;0,98
01/01/20;"CA73";"Cartagena";"Los Belones";10,2;14,86;7,78;91,13;97,83;74,71;0,1;99,47;0,41;3,16;251,34;0,68
01/01/20;"CA91";"Fuente Alamo";"Campillo Abajo";7,99;15,45;4,17;82,5;92,48;58,49;0;125,94;0,62;2,9;237,39;0,79
01/01/20;"CI22";"Blanca";"Estación de Blanca";8,29;14,02;2,84;77,67;89,22;54,99;0;120,88;0,98;4,29;289,27;0,89
01/01/20;"CI32";"Ulea";"Estación Ulea";7,85;14,25;3,18;88,16;99,9;57,78;0;99,22;1,8;5,86;331,03;1,09
01/01/20;"CI42";"Cieza";"La Carrichosa";6,53;13,59;2,01;87,14;97,95;59,11;0,1;94,02;0,3;2,5;262,07;0,57
01/01/20;"CI52";"Calasparra";"Rotas";6,62;13,99;1,98;80,62;90,72;51,56;0;109,63;0,34;2,96;347,16;0,6
01/01/20;"CI71";"Calasparra";"Llano de las olivericas";7,25;13,41;3,23;89,81;99,9;60,88;0;95,59;0,78;2,85;251,17;0,73
01/01/20;"CR12";"Caravaca";"Barranda";4,46;15,2;-1,02;74,27;92,2;32,44;0;119,84;1,22;3,37;232,41;1,3
01/01/20;"CR32";"Cehegin";"El Chaparral";4,64;14,03;-1,81;83,13;95,47;47,33;0,1;113,5;0,41;3,43;264,37;0,64
01/01/20;"CR42";"Moratalla";"Venta Ulea";5,71;14,38;1,57;91,33;99,9;57,75;0,2;102,17;0,96;2,92;182,74;0,85
01/01/20;"CR52";"Cehegin";"La Torrecica";5,63;14,62;0,26;83,31;95,32;49,26;0,2;119,01;0,37;3;124,87;0,64
01/01/20;"CR61";"Moratalla";"Casas del Rey";10,72;16,5;7,5;38,76;63;25,3;0;;0,5;1,9;;
01/01/20;"JU12";"Jumilla";"Cañada del Judio";6,23;13,19;2,42;83,99;92,27;58,61;0;88,39;0,84;3,14;26,65;0,8
01/01/20;"JU42";"Yecla";"Las Moratillas";5,73;14,75;-1,38;82,49;99,9;44,82;0,19;113,18;0,8;2,65;327,12;0,86
01/01/20;"JU52";"Yecla";"Pinillos";4,43;14,69;-1,24;86,08;96,02;47,19;0,2;89,94;0,46;2,45;267,9;0,68
01/01/20;"JU62";"Jumilla";"Miraflores";5,24;14,17;0,22;88,65;99,17;55,47;0;103,12;0,62;2,98;333,97;0,71
01/01/20;"JU71";"Jumilla";"Las Encebras";5,4;13,9;0,27;85,76;94,23;58,37;0;86,68;0,9;4,54;28,38;0,82
01/01/20;"JU81";"Jumilla";"Roman";5,76;13,14;1,52;82,66;90,12;56,62;0;78,73;0,45;3,25;299,71;0,64
01/01/20;"LO11";"Lorca";"Purias";7,72;15,47;1,85;90,87;99,1;68,01;0,2;119,21;0,79;3,11;88,72;0,79
01/01/20;"LO21";"Lorca";"Pozohiguera";7,8;14,34;3,41;92,88;99,9;70,9;0,2;114,69;1,44;3,7;96,42;0,88
01/01/20;"LO31";"Aguilas";"La Pilica";11,09;15,39;7,44;83,37;95;66,4;0,2;121,14;0,72;2,59;272,34;0,83
01/01/20;"LO41";"Lorca";"La Paca";6,12;15,13;1,03;80,79;95,5;50,47;0;126,59;1,28;3,38;62,05;1,11
01/01/20;"LO51";"Aguilas";"Tebar";9,18;14,19;6,49;89,66;99,92;67,6;0;119,16;1,12;4,31;75,81;0,86
01/01/20;"LO61";"Puerto Lumbreras";"El Esparragal";7,46;15,28;1,18;85,36;96,43;57,52;0,2;126,35;0,85;4,43;219,67;0,87
01/01/20;"ML12";"Mula";"Yechar";6,53;16;0,6;81,55;92,8;45,6;0;;0,38;1,8;;0,66
01/01/20;"MO12";"Torres de Cotillas";"Pilica";8,31;13,96;4,11;90,94;99,8;67,3;0,2;126,01;0,87;3,14;226,06;0,75
01/01/20;"MO22";"Molina Segura";"Campotejar";8,48;14,83;4,21;77,21;88,58;47,28;0;119,22;1,68;7,1;333,23;1,3
01/01/20;"MO31";"Molina Segura";"El Llano";6,52;15,86;-0,24;88,52;99,93;51;0;117,03;0,2;3,23;319,33;0,54
01/01/20;"MO41";"Abanilla";"La Jaira";8,23;14,66;4,29;80,88;90,65;53,49;0;113,96;0,72;3,53;283,59;0,81
01/01/20;"MO51";"Fortuna";"Charco Taray";8,98;14,54;5,97;87,61;99,1;56,48;0,2;121,96;1,05;4,17;312,86;0,9
01/01/20;"MO62";"Ojós";"Loma del Aire";8,96;13,69;5,59;85,6;99,15;57,28;0,1;113,22;0,46;3,35;334,18;0,67
01/01/20;"MU21";"Beniel";"Los Alamos";7,9;15,66;2,56;89,03;98,8;62,66;0,2;113,79;0,78;3,54;225,18;0,79
01/01/20;"MU31";"Murcia";"La Vereda";7,78;14,6;3,34;91,67;99,9;66,58;0;106,45;0,5;2,57;148,81;0,67
01/01/20;"MU52";"Murcia";"Cabezo Plata";9,54;15,19;5,45;89,53;99,48;64,31;0;120,17;0,65;3,67;220,53;0,75
01/01/20;"MU62";"Murcia";"La Alberca";8,07;14,78;2,25;81,4;90,82;58,34;0,1;115,29;0,21;1,94;182,5;0,56
01/01/20;"TP22";"San Javier";"Santiago de la Ribera";8,57;14,66;2,97;84,51;92,35;65,9;0;113,83;0,5;3,12;242,52;0,68
01/01/20;"TP42";"Torre Pacheco";"Torre Blanca";8,83;16,21;4,11;88,69;95,5;67,94;0,1;110,03;0,82;4,41;242,74;0,81
01/01/20;"TP52";"San Javier";"El Mirador";9,05;14,92;4,76;86,31;95,35;63,13;0,1;110;0,7;6,08;303,76;0,77
01/01/20;"TP73";"Torre Pacheco";"Los Infiernos";8,67;14,6;4,02;88,63;95,83;68,29;0;121,23;0,74;4,02;317,32;0,75
01/01/20;"TP91";"Torre Pacheco";"Torre Pacheco";8,77;15,58;4,66;94,89;99,9;74,73;0,2;108,44;0,84;4,12;292,97;0,74
02/01/20;"AL31";"Totana";"Lebor";8,4;11,85;4,26;88,57;97,2;75,5;0;40,57;1,02;2,7;268,17;0,67
02/01/20;"AL41";"Alhama";"La Calavera";9,21;12,3;4,68;82,15;91,23;66,24;0;42,47;0,88;3,86;251,27;0,76
02/01/20;"AL52";"Librilla";"Los Palomos";8,2;11,42;5,3;90,29;96,4;78,2;0;33,67;0,51;2,19;255,11;0,57
02/01/20;"AL62";"Mazarrón";"Cañada Gallego";11,13;13,46;6,92;75,93;86,1;62,02;0;59,88;0,67;3,53;331,56;0,79
02/01/20;"AL91";"Mazarrón";"Leiva";10,38;13,53;7,67;95,49;99,9;76,92;0;59,26;0,49;3,67;167;0,63
02/01/20;"CA12";"Cartagena";"La Palma";9,91;14,47;4,66;80,89;91,43;60,17;0,2;61,05;0,01;2,25;295,82;0,52
02/01/20;"CA21";"Murcia";"Corvera";9,44;11,82;5,43;84,48;99,9;70,9;0;47,03;0,74;3,77;271,1;0,66
02/01/20;"CA42";"Fuente Alamo";"Balsapintada";8,83;13,07;3,77;94,79;99,9;78,3;0;54,78;0,63;2,59;254,39;0,61
02/01/20;"CA52";"Cartagena";"La Aljorra";9,67;13,63;5,57;85,37;99;66,69;0;55,88;1,16;3,11;264,77;0,82
02/01/20;"CA73";"Cartagena";"Los Belones";10,49;14,38;7,02;84,73;96,6;63,2;0,1;72,92;0,46;2,53;238,78;0,7
